,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,100000,20,20,100,0.5,0.611475,0.6123,0.056882133346958776,0.6172375,0.6124,0.06964086255792633,1.0,0.9993,0.027329300929749105,0.547325,0.5403,0.06555762859210847,0.9687,0.95825,0.026763009125003664,0.784775,0.77975,0.033823953025283335,0.9070375,0.8706,0.0253222045522409
1,1,100000,20,20,100,0.5,0.632625,0.6338,0.06228785566997272,0.655875,0.6554,0.0608969057810486,1.0,0.9992,0.051880595059717066,0.5237625,0.5146,0.24448595702451317,0.9712,0.96025,0.049086466832468825,0.7884,0.78285,0.04172785667105152,0.9246125,0.8852,0.047371416207823314
2,2,100000,20,20,100,0.5,0.5717875,0.57765,0.059192661497628606,0.595575,0.5968,0.061611797258606146,1.0,0.99935,0.04948341051600346,0.5906875,0.58395,0.06725147433866589,0.9674,0.9566,0.05172969533945228,0.7571875,0.7575,0.045558539627305716,0.922525,0.8801,0.05301728733811148
3,3,100000,20,20,100,0.5,0.61045,0.61005,0.0764815088746263,0.6097875,0.60845,0.07934559366555934,1.0,0.999,0.0444403177683537,0.543825,0.5376,0.09263642883854444,0.968625,0.9566,0.04215017147342971,0.7889,0.7801,0.044181758931000154,0.9274625,0.8873,0.04410896670555767
4,4,100000,20,20,100,0.5,0.627925,0.6273,0.06362790999107235,0.6224625,0.6209,0.07027908185776266,1.0,0.9992,0.03700857214095607,0.5210625,0.51595,0.07237591313165671,0.96915,0.95795,0.038773678058861206,0.8032125,0.79635,0.03287335247493926,0.92765,0.8863,0.038834668650670603
0,0,100000,20,20,100,0.5,0.611475,0.6123,0.056882133346958776,0.6172375,0.6124,0.06964086255792633,1.0,0.9993,0.027329300929749105,0.547325,0.5403,0.06555762859210847,0.9687,0.95825,0.026763009125003664,0.784775,0.77975,0.033823953025283335,0.9070375,0.8706,0.0253222045522409
1,1,100000,20,20,100,0.5,0.632625,0.6338,0.06228785566997272,0.655875,0.6554,0.0608969057810486,1.0,0.9992,0.051880595059717066,0.5237625,0.5146,0.24448595702451317,0.9712,0.96025,0.049086466832468825,0.7884,0.78285,0.04172785667105152,0.9246125,0.8852,0.047371416207823314
2,2,100000,20,20,100,0.5,0.5717875,0.57765,0.059192661497628606,0.595575,0.5968,0.061611797258606146,1.0,0.99935,0.04948341051600346,0.5906875,0.58395,0.06725147433866589,0.9674,0.9566,0.05172969533945228,0.7571875,0.7575,0.045558539627305716,0.922525,0.8801,0.05301728733811148
3,3,100000,20,20,100,0.5,0.61045,0.61005,0.0764815088746263,0.6097875,0.60845,0.07934559366555934,1.0,0.999,0.0444403177683537,0.543825,0.5376,0.09263642883854444,0.968625,0.9566,0.04215017147342971,0.7889,0.7801,0.044181758931000154,0.9274625,0.8873,0.04410896670555767
4,4,100000,20,20,100,0.5,0.627925,0.6273,0.06362790999107235,0.6224625,0.6209,0.07027908185776266,1.0,0.9992,0.03700857214095607,0.5210625,0.51595,0.07237591313165671,0.96915,0.95795,0.038773678058861206,0.8032125,0.79635,0.03287335247493926,0.92765,0.8863,0.038834668650670603
